"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
57132020,5713,2020,"IN0120000","IN0120000","","N","N",,"I","CLINTON","CLINTON CO SO FRANKFORT","Clinton","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",16453,27128,"INUCR0001","Indiana State Police","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-JUN-20,01-JUN-20,01-NOV-20,01-NOV-20,01-NOV-20,"N","CLINTON","Non-MSA","Y","Y","Y"
57142020,5714,2020,"IN0120100","IN0120100","","N","N",,"I","FRANKFORT","FRANKFORT PD","Frankfort","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",15826,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JUL-19,01-JUL-19,01-SEP-19,01-SEP-19,01-SEP-19,"N","CLINTON","Non-MSA","Y","Y","Y"
57172020,5717,2020,"IN0140100","IN0140100","","N","N",,"I","WASHINGTON","WASHINGTON PD","Washington","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",12612,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,2,22,1,5,6,0,0,01-JAN-13,01-JUN-18,01-JUN-18,01-SEP-19,01-SEP-19,01-SEP-19,"N","DAVIESS","Non-MSA","Y","Y","Y"
57252020,5725,2020,"IN0170100","IN0170100","","N","N",,"I","AUBURN","AUBURN PD","Auburn","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",13560,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,1,23,1,2,3,0,0,01-JAN-13,01-AUG-19,01-AUG-19,01-NOV-19,01-NOV-19,01-NOV-19,"N","DEKALB","Non-MSA","Y","Y","Y"
57282020,5728,2020,"IN0180000","IN0180000","","N","N",,"I","DELAWARE","DELAWARE CO SO MUNCIE","Delaware","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",45882,27128,"INUCR0001","Indiana State Police","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",42,58,100,1,22,23,0,0,01-JAN-13,01-FEB-20,01-FEB-20,01-MAY-20,01-MAY-20,01-MAY-20,"N","DELAWARE","Muncie, IN","Y","Y","Y"
57292020,5729,2020,"IN0180100","IN0180100","","N","N",,"I","MUNCIE","MUNCIE PD","Muncie","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",67760,27128,"INUCR0001","Indiana State Police","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",87,6,93,8,8,16,0,0,01-JAN-13,01-NOV-19,01-NOV-19,01-JUN-20,01-JUN-20,01-JUN-20,"N","DELAWARE","Muncie, IN","Y","Y","Y"
57312020,5731,2020,"IN0190000","IN0190000","","N","N",,"I","DUBOIS","DUBOIS CO SO JASPER","Dubois","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",20817,27128,"INUCR0001","Indiana State Police","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-APR-19,01-APR-19,01-MAR-20,,01-MAR-20,"N","DUBOIS","Non-MSA","Y","Y","Y"
57322020,5732,2020,"IN0190100","IN0190100","","N","N",,"I","HUNTINGBURG","HUNTINGBURG PD","Huntingburg","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",6182,27128,"INUCR0001","Indiana State Police","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,0,14,0,1,1,0,0,01-JAN-13,01-MAR-18,01-MAR-18,01-JUL-19,,01-JUL-19,"N","DUBOIS","Non-MSA","Y","Y","Y"
57332020,5733,2020,"IN0190200","IN0190200","","N","N",,"I","JASPER","JASPER PD","Jasper","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",15790,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",23,0,23,0,8,8,0,0,01-JAN-13,01-JUL-18,01-JUL-18,01-NOV-18,,01-NOV-18,"N","DUBOIS","Non-MSA","Y","Y","Y"
57352020,5735,2020,"IN0200100","IN0200100","","N","N",,"I","ELKHART","ELKHART PD","Elkhart","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",52416,27128,"INUCR0001","Indiana State Police","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-JUN-20,01-JUN-20,01-JUN-20,"N","ELKHART","Elkhart-Goshen, IN","Y","Y","Y"
57362020,5736,2020,"IN0200200","IN0200200","","N","N",,"I","GOSHEN","GOSHEN PD","Goshen","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",34409,27128,"INUCR0001","Indiana State Police","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",62,0,62,2,8,10,0,0,01-JAN-13,01-NOV-19,01-NOV-19,01-MAY-20,01-MAY-20,01-MAY-20,"N","ELKHART","Elkhart-Goshen, IN","Y","Y","Y"
57372020,5737,2020,"IN0200300","IN0200300","","N","N",,"I","NAPPANEE","NAPPANEE PD","Nappanee","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",6864,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",18,2,20,0,1,1,0,0,01-JAN-13,01-APR-20,01-APR-20,01-MAY-20,01-MAY-20,01-MAY-20,"N","KOSCIUSKO; ELKHART","Elkhart-Goshen, IN","Y","Y","Y"
57412020,5741,2020,"IN0220100","IN0220100","","Y","N",,"I","NEW ALBANY","NEW ALBANY PD","New Albany","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",36892,24228,"IN0220100","New Albany","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","FLOYD","Louisville/Jefferson County, KY-IN","Y","Y","Y"
57482020,5748,2020,"IN0240100","IN0240100","","N","N",,"I","BROOKVILLE","BROOKVILLE PD","Brookville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",2523,27128,"INUCR0001","Indiana State Police","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JUN-19,01-JUN-19,01-SEP-19,01-SEP-19,01-SEP-19,"N","FRANKLIN","Cincinnati, OH-KY-IN","Y","Y","Y"
57492020,5749,2020,"IN0250000","IN0250000","","N","N",,"I","FULTON","FULTON CO SO ROCHESTER","Fulton","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",13901,27128,"INUCR0001","Indiana State Police","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",14,9,23,0,8,8,0,0,01-JAN-13,01-APR-20,01-APR-20,01-MAY-20,01-MAY-20,01-MAY-20,"N","FULTON","Non-MSA","Y","Y","Y"
57582020,5758,2020,"IN0280000","IN0280000","","N","N",,"I","GREENE","GREENE CO SO BLOOMFIELD","Greene","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",20775,27128,"INUCR0001","Indiana State Police","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,23,42,2,20,22,0,0,01-JAN-13,01-MAR-19,01-MAR-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","GREENE","Non-MSA","Y","Y","Y"
57602020,5760,2020,"IN0280300","IN0280300","","N","N",,"I","LINTON","LINTON PD","Linton","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",5179,27128,"INUCR0001","Indiana State Police","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,2,10,1,4,5,0,0,01-JAN-13,01-APR-19,01-APR-19,01-JUL-19,01-JUL-19,01-JUL-19,"N","GREENE","Non-MSA","Y","Y","Y"
57612020,5761,2020,"IN0290000","IN0290000","","N","N",,"I","HAMILTON","HAMILTON CO SO NOBLESVILLE","Hamilton","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",23422,27128,"INUCR0001","Indiana State Police","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-MAY-20,01-MAY-20,01-SEP-20,01-SEP-20,01-SEP-20,"N","HAMILTON","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57622020,5762,2020,"IN0290100","IN0290100","","N","N",,"I","CARMEL","CARMEL PD","Carmel","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",103100,27128,"INUCR0001","Indiana State Police","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",115,11,126,13,14,27,0,0,01-JAN-13,01-APR-20,01-APR-20,01-SEP-20,01-SEP-20,01-SEP-20,"N","HAMILTON","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57632020,5763,2020,"IN0290200","IN0290200","","Y","N",,"I","NOBLESVILLE","NOBLESVILLE PD","Noblesville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",66127,24250,"IN0290200","Noblesville","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",83,1,84,6,9,15,0,0,01-JAN-13,01-JUN-20,01-JUN-20,01-OCT-20,01-OCT-20,01-OCT-20,"N","HAMILTON","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57642020,5764,2020,"IN0290400","IN0290400","","N","N",,"I","WESTFIELD","WESTFIELD PD","Westfield","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",45469,27128,"INUCR0001","Indiana State Police","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-13,01-JAN-13,01-OCT-20,01-OCT-20,01-OCT-20,"N","HAMILTON","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57652020,5765,2020,"IN0290700","IN0290700","","N","N",,"I","FISHERS","FISHERS PD","Fishers","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",97481,27128,"INUCR0001","Indiana State Police","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-MAY-20,01-MAY-20,01-SEP-20,01-SEP-20,01-SEP-20,"N","HAMILTON","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57662020,5766,2020,"IN0300000","IN0300000","","N","N",,"I","HANCOCK","HANCOCK CO SO GREENFIELD","Hancock","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",37158,27128,"INUCR0001","Indiana State Police","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",36,27,63,4,17,21,0,0,01-JAN-13,01-MAR-15,01-MAR-15,01-FEB-18,,01-FEB-18,"N","HANCOCK","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57672020,5767,2020,"IN0300100","IN0300100","","N","N",,"I","GREENFIELD","GREENFIELD PD","Greenfield","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",23273,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",39,1,40,2,3,5,0,0,01-JAN-13,01-JAN-18,01-JAN-18,01-MAY-18,,01-MAY-18,"N","HANCOCK","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57702020,5770,2020,"IN0320000","IN0320000","","N","N",,"I","HENDRICKS","HENDRICKS CO SO DANVILLE","Hendricks","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",73043,27128,"INUCR0001","Indiana State Police","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-APR-15,01-APR-15,01-AUG-17,01-MAR-20,01-AUG-17,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57712020,5771,2020,"IN0320100","IN0320100","","N","N",,"I","BROWNSBURG","BROWNSBURG PD","Brownsburg","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",27621,27128,"INUCR0001","Indiana State Police","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",47,0,47,4,6,10,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57722020,5772,2020,"IN0320200","IN0320200","","N","N",,"I","DANVILLE","DANVILLE PD","Danville","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",10247,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",17,0,17,1,2,3,0,0,01-JAN-13,01-MAR-20,01-MAR-20,01-JAN-21,01-JAN-21,01-JAN-21,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57732020,5773,2020,"IN0320300","IN0320300","","N","N",,"I","PLAINFIELD","PLAINFIELD PD","Plainfield","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",36239,27128,"INUCR0001","Indiana State Police","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",54,1,55,5,5,10,0,0,01-JAN-13,01-JUL-19,01-JUL-19,01-MAR-20,01-MAR-20,01-MAR-20,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57742020,5774,2020,"IN0321100","IN0321100","","N","N",,"I","AVON","AVON POLICE DEPARTMENT","Avon","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",19377,27128,"INUCR0001","Indiana State Police","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-MAY-17,01-MAY-17,01-AUG-17,01-MAR-20,01-AUG-17,"N","HENDRICKS","Indianapolis-Carmel-Anderson, IN","Y","Y","Y"
57772020,5777,2020,"IN0340000","IN0340000","","N","N",,"I","HOWARD","HOWARD CO SO KOKOMO","Howard","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","County",23323,27128,"INUCR0001","Indiana State Police","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-13,01-FEB-19,01-FEB-19,01-NOV-20,01-NOV-20,01-NOV-20,"N","HOWARD","Kokomo, IN","Y","Y","Y"
57782020,5778,2020,"IN0340100","IN0340100","","N","N",,"I","KOKOMO","KOKOMO PD","Kokomo","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",58001,27128,"INUCR0001","Indiana State Police","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","N",,,,,,,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-AUG-20,01-AUG-20,01-AUG-20,"N","HOWARD","Kokomo, IN","Y","Y","Y"
57812020,5781,2020,"IN0350100","IN0350100","","N","N",,"I","HUNTINGTON","HUNTINGTON PD","Huntington","","A",19,"Indiana","IN","IN","3","East North Central","2","Midwest","Region II","City",17096,27128,"INUCR0001","Indiana State Police","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",33,2,35,0,1,1,0,0,01-JAN-13,01-JAN-20,01-JAN-20,01-AUG-20,01-AUG-20,01-AUG-20,"N","HUNTINGTON","Non-MSA","Y","Y","Y"
